ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Mph),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1189,0.1833,10.1865,-0.1284,-0.1385,9.8048,-0.0039,0.2816,-0.0419,-0.15,0.0,-0.21,23981.0,123.14,75.75,91.08,302.06,1.14,0.74,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1431,2015-06-12 12:42:49:118
0.1189,0.1833,10.1865,-0.1284,-0.1385,9.8048,-0.0039,0.2816,-0.0419,-0.15,0.0,-0.21,23871.0,123.14,75.75,91.08,302.06,1.14,0.74,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1441,2015-06-12 12:42:49:128
0.1189,0.1833,10.1865,-0.1284,-0.1385,9.8048,-0.0039,0.2816,-0.0419,-0.15,0.0,-0.21,23871.0,123.14,75.75,91.08,302.06,1.14,0.74,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1451,2015-06-12 12:42:49:138
0.1189,0.1833,10.1865,-0.1284,-0.1385,9.8048,-0.0039,0.2816,-0.0419,-0.15,0.0,-0.21,23871.0,123.14,75.75,91.08,302.06,1.14,0.74,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1461,2015-06-12 12:42:49:148
0.1189,0.1833,10.1865,-0.1284,-0.1385,9.8048,-0.0039,0.2816,-0.0419,-0.15,0.0,-0.21,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1471,2015-06-12 12:42:49:158
0.1189,0.1833,10.1865,-0.1284,-0.1385,9.8048,-0.0039,0.2816,-0.0419,-0.15,0.0,-0.21,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1481,2015-06-12 12:42:49:168
0.1189,0.1833,10.1865,-0.1284,-0.1385,9.8048,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1491,2015-06-12 12:42:49:178
0.1189,0.1833,10.1865,-0.1284,-0.1385,9.8048,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1502,2015-06-12 12:42:49:189
0.1189,0.1833,10.1865,-0.1284,-0.1385,9.8048,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1511,2015-06-12 12:42:49:198
-0.2155,0.1084,9.927,-0.1284,-0.1385,9.8048,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1520,2015-06-12 12:42:49:207
-0.2155,0.1084,9.927,-0.1284,-0.1385,9.8048,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1532,2015-06-12 12:42:49:219
-0.2155,0.1084,9.927,-0.1284,-0.1385,9.8048,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1541,2015-06-12 12:42:49:228
-0.2155,0.1084,9.927,-0.1158,-0.0866,9.8056,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.3,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1551,2015-06-12 12:42:49:238
-0.2155,0.1084,9.927,-0.1158,-0.0866,9.8056,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.29,46.717,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1561,2015-06-12 12:42:49:248
-0.2155,0.1084,9.927,-0.1158,-0.0866,9.8056,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1571,2015-06-12 12:42:49:258
-0.2155,0.1084,9.927,-0.1158,-0.0866,9.8056,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1584,2015-06-12 12:42:49:271
-0.2155,0.1084,9.927,-0.1158,-0.0866,9.8056,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1591,2015-06-12 12:42:49:278
-0.2155,0.1084,9.927,-0.1158,-0.0866,9.8056,0.0511,0.2327,-0.0307,-0.03,-0.06,-0.15,23871.0,123.34,75.63,90.81,301.89,0.81,0.75,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1601,2015-06-12 12:42:49:288
-0.2155,0.1084,9.927,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,23871.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1612,2015-06-12 12:42:49:299
-0.2155,0.1084,9.927,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,23871.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1621,2015-06-12 12:42:49:308
0.1142,-0.0583,10.1496,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,25907.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1631,2015-06-12 12:42:49:318
0.1142,-0.0583,10.1496,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,25907.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1644,2015-06-12 12:42:49:331
0.1142,-0.0583,10.1496,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,25907.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1654,2015-06-12 12:42:49:341
0.1142,-0.0583,10.1496,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,25907.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1661,2015-06-12 12:42:49:348
0.1142,-0.0583,10.1496,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,25907.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1673,2015-06-12 12:42:49:360
0.1142,-0.0583,10.1496,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,25907.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1682,2015-06-12 12:42:49:369
0.1142,-0.0583,10.1496,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,25907.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1691,2015-06-12 12:42:49:378
0.1142,-0.0583,10.1496,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,25907.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1701,2015-06-12 12:42:49:388
0.1142,-0.0583,10.1496,-0.1158,-0.0866,9.8056,0.0638,0.1636,0.0884,-0.09,0.06,-0.21,25907.0,122.47,75.78,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1711,2015-06-12 12:42:49:398
0.2296,0.0846,10.0044,-0.1074,-0.0596,9.8059,0.0136,0.0726,0.0381,-0.09,0.06,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1720,2015-06-12 12:42:49:407
0.2296,0.0846,10.0044,-0.1074,-0.0596,9.8059,0.0136,0.0726,0.0381,-0.09,0.06,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1731,2015-06-12 12:42:49:418
0.2296,0.0846,10.0044,-0.1074,-0.0596,9.8059,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1740,2015-06-12 12:42:49:427
0.2296,0.0846,10.0044,-0.1074,-0.0596,9.8059,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1762,2015-06-12 12:42:49:449
0.2296,0.0846,10.0044,-0.1074,-0.0596,9.8059,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1767,2015-06-12 12:42:49:454
0.2296,0.0846,10.0044,-0.1074,-0.0596,9.8059,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1777,2015-06-12 12:42:49:464
0.2296,0.0846,10.0044,-0.1074,-0.0596,9.8059,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1783,2015-06-12 12:42:49:470
0.2296,0.0846,10.0044,-0.1074,-0.0596,9.8059,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1791,2015-06-12 12:42:49:478
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1805,2015-06-12 12:42:49:492
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1811,2015-06-12 12:42:49:498
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1821,2015-06-12 12:42:49:508
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1837,2015-06-12 12:42:49:524
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1841,2015-06-12 12:42:49:528
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1852,2015-06-12 12:42:49:539
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0136,0.0726,0.0381,-0.22,0.12,-0.21,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1861,2015-06-12 12:42:49:548
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,25907.0,122.21,75.98,90.96,301.96,0.51,0.68,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1874,2015-06-12 12:42:49:561
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,25907.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1887,2015-06-12 12:42:49:574
-0.0679,0.1572,10.0639,-0.1093,-0.039,9.806,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,25907.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.29,47.542,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1891,2015-06-12 12:42:49:578
0.3796,0.1024,10.0365,-0.1093,-0.039,9.806,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,25907.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.29,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1906,2015-06-12 12:42:49:593
0.3796,0.1024,10.0365,-0.1093,-0.039,9.806,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,25907.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.29,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1911,2015-06-12 12:42:49:598
0.3796,0.1024,10.0365,-0.1093,-0.039,9.806,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,25907.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.29,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1921,2015-06-12 12:42:49:608
0.3796,0.1024,10.0365,-0.1018,-0.0194,9.8061,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,25907.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.29,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1931,2015-06-12 12:42:49:618
0.3796,0.1024,10.0365,-0.1018,-0.0194,9.8061,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,25907.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.29,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1941,2015-06-12 12:42:49:628
0.3796,0.1024,10.0365,-0.1018,-0.0194,9.8061,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,27062.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.29,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1950,2015-06-12 12:42:49:637
0.3796,0.1024,10.0365,-0.1018,-0.0194,9.8061,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,27062.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.29,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1961,2015-06-12 12:42:49:648
0.3796,0.1024,10.0365,-0.1018,-0.0194,9.8061,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,27062.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1971,2015-06-12 12:42:49:658
0.3796,0.1024,10.0365,-0.1018,-0.0194,9.8061,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,27062.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1981,2015-06-12 12:42:49:668
0.3796,0.1024,10.0365,-0.1018,-0.0194,9.8061,0.0392,0.0933,0.0197,-0.09,0.06,-0.02,27062.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,1991,2015-06-12 12:42:49:678
-0.4798,0.1405,9.9104,-0.1018,-0.0194,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,2001,2015-06-12 12:42:49:688
-0.4798,0.1405,9.9104,-0.1018,-0.0194,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.71,75.94,91.04,301.62,0.23,0.64,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,2011,2015-06-12 12:42:49:698
-0.4798,0.1405,9.9104,-0.1018,-0.0194,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,2023,2015-06-12 12:42:49:710
-0.4798,0.1405,9.9104,-0.1018,-0.0194,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,2033,2015-06-12 12:42:49:720
-0.4798,0.1405,9.9104,-0.1018,-0.0194,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,2041,2015-06-12 12:42:49:728
-0.4798,0.1405,9.9104,-0.1018,-0.0194,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,2051,2015-06-12 12:42:49:738
-0.4798,0.1405,9.9104,-0.1083,0.0059,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,2062,2015-06-12 12:42:49:749
-0.4798,0.1405,9.9104,-0.1083,0.0059,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.03498,-105.34364,5945.16,NaN,,2.89,38.709675,135.2,15 / 25,2070,2015-06-12 12:42:49:757
-0.4798,0.1405,9.9104,-0.1083,0.0059,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.035,-105.343636,5941.94,NaN,,2.68,38.709675,135.2,15 / 25,2081,2015-06-12 12:42:49:768
-0.4798,0.1405,9.9104,-0.1083,0.0059,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.035,-105.343636,5941.94,NaN,,2.68,38.709675,135.2,15 / 25,2090,2015-06-12 12:42:49:777
0.1142,0.2321,9.8247,-0.1083,0.0059,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.035,-105.343636,5941.94,NaN,,2.68,38.709675,135.2,15 / 25,2101,2015-06-12 12:42:49:788
0.1142,0.2321,9.8247,-0.1083,0.0059,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.035,-105.343636,5941.94,NaN,,2.68,38.709675,135.2,15 / 25,2111,2015-06-12 12:42:49:798
0.1142,0.2321,9.8247,-0.1083,0.0059,9.8061,-0.0411,0.1898,0.001,-0.09,-0.12,-0.21,27062.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.035,-105.343636,5941.94,NaN,,2.68,38.709675,135.2,15 / 25,2120,2015-06-12 12:42:49:807
0.1142,0.2321,9.8247,-0.1083,0.0059,9.8061,-0.0168,0.0379,0.0208,-0.4,0.18,-0.39,25467.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.035,-105.343636,5941.94,NaN,,2.68,38.709675,135.2,15 / 25,2135,2015-06-12 12:42:49:822
0.1142,0.2321,9.8247,-0.1083,0.0059,9.8061,-0.0168,0.0379,0.0208,-0.4,0.18,-0.39,25467.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.035,-105.343636,5941.94,NaN,,2.68,38.709675,135.2,15 / 25,2141,2015-06-12 12:42:49:828
0.1142,0.2321,9.8247,-0.1083,0.0059,9.8061,-0.0168,0.0379,0.0208,-0.4,0.18,-0.39,25467.0,122.93,75.72,91.2,301.58,0.11,0.59,2.0,812.33,47.091,40.035,-105.343636,5941.94,NaN,,2.68,38.709675,135.2,15 / 25,2151,2015-06-12 12:42:49:838
